"Latitude","Longitude"
38.2654454,-85.7902195
38.2507081,-85.8151753
38.2552296,-85.760384
38.2166262,-85.765671
38.1336201,-85.5923781
38.1190464,-85.6628587
38.1810034,-85.8662888
37.70419,-85.8042156
37.814511,-85.4889091
38.2636656,-85.6983492
38.1465247,-85.5772287
38.2167898,-85.6574389
38.54471,-84.8216885
38.1516445,-85.6643049
38.7822919,-84.894638
37.4752081,-85.9759864
38.2701611,-85.8074523
38.1212116,-85.8786909
38.2957165,-85.5492935
38.2474802,-85.8312918
38.3173527,-85.5320795
38.1760743,-85.7616882
38.1742206,-85.572426
38.2213736,-85.2033918
37.8222854,-86.0152552
38.1685388,-85.6639556
37.4327444,-83.3769967
38.1275696,-85.6612049
36.9816938,-85.0648665
38.1536906,-85.8059775
37.5416342,-85.6648163
38.190136,-85.2083436
37.8750508,-86.2608991
38.0292409,-84.5308361
38.3145164,-85.5275928
38.15707,-85.8030359
38.1994479,-85.8279895
38.1873004,-85.7901827
38.2271282,-85.7903776
38.1252516,-85.8668448
38.085164,-84.466467
38.2067239,-85.6380083
38.7821927,-84.8861312
38.2691692,-85.6044637
37.7787295,-84.6904375
37.4846742,-86.3009095
38.2155338,-85.7917231
38.252765,-85.7690511
37.5837445,-85.624771
38.2578477,-85.8152591
38.0824997,-85.6272386
38.3818568,-85.8103614
38.1723362,-85.676729
37.6825049,-85.8597047
38.1516383,-85.6626685
37.8154734,-85.4527444
38.536329,-85.3291102
38.0157703,-85.890636
37.7956023,-85.9865353
37.9225093,-86.1458651
37.8755979,-86.1622888
37.768098,-85.0411872
37.8807738,-84.5522947
38.0629847,-85.7115166
38.379588,-85.4017243
38.0341251,-84.1440025
37.5797956,-85.438477
37.5986328,-85.148373
38.1842994,-85.8472274
38.1302806,-85.6853834
37.734065,-85.8774205
38.082077,-85.6740766
38.2209557,-85.2494735
38.1861448,-85.8287895
38.1987198,-85.8446543
37.816537,-85.4902616
38.1484024,-85.8120076
38.1960601,-85.8044804
38.2227465,-85.7977786
38.1397771,-85.7824734
37.6667862,-82.7671765
37.8383088,-86.3800208
37.4131401,-86.3698772
39.0860067,-84.4932902
38.6442214,-85.3401065
38.0599285,-85.9002699
38.2701123,-85.7899796
38.0451688,-85.5507677
38.228907,-85.7375492
38.1293215,-85.6318981
37.7498219,-85.8789442
38.2490584,-85.7394251
38.0689836,-84.5042928
37.9019729,-86.0634771
38.2003035,-85.731738
38.1473223,-85.6535249
37.9087176,-85.9833818
36.873523,-86.9180841
38.2172197,-85.6478592
38.098213,-85.8523509
38.0960477,-85.5791463
37.5623557,-85.2624596
38.2134805,-85.6419364
37.4717357,-85.7513832
38.229511,-85.801346
38.1456255,-85.8459626
38.191073,-85.8086662
38.1274512,-85.8414259
38.2397849,-85.8310914
38.2471115,-85.8096201
38.0587252,-85.2502917
38.1631189,-85.7780258
38.2308839,-85.7611298
38.2729418,-85.8189392
38.0600813,-85.4814829
37.2954295,-87.1262588
37.4629917,-85.8953451
37.7474027,-85.9860831
36.5587219,-88.6245625
38.401378,-85.380375
38.0416417,-85.6043905
38.2071106,-85.6736035
38.0296248,-84.9060002
38.194132,-85.6541928
37.2659073,-85.804008
35.0199152,-90.0517309
37.9118067,-86.10507
37.7323093,-85.036025
38.2192182,-85.8156441
37.8309115,-86.6339313
38.0960689,-85.8765024
37.8866817,-85.9699606
38.1952597,-85.6724437
38.2245427,-85.7931351
38.1936896,-85.5806587
38.2352851,-85.7768595
38.6865708,-84.9744183
36.7227487,-86.5883085
38.2334119,-85.8124782
37.8211239,-85.4633539
38.2157185,-85.2343763
38.184049,-85.7054471
37.4989099,-86.2081791
37.6342797,-85.8614315
38.2243387,-85.8089131
36.8481174,-83.3131271
38.1696385,-85.5937262
38.2236269,-85.7972573
37.5555263,-86.413294
37.0409456,-88.6737198
38.2041358,-85.2287832
38.0969723,-85.7780031
37.9248456,-86.1618079
38.219199,-85.7891441
38.1612104,-85.7644284
38.1224075,-85.6354098
38.1702449,-85.8879234
37.4886529,-86.2813098
37.7439441,-85.9861739
